iteration,edge_weight_mean,non_edge_weight_mean,weight_gap,embedding_norm_mean,embedding_norm_std,embedding_similarity_mean
0,0.00035685484181158245,-0.00022152175370138139,0.0005783765955129638,0.21901144087314606,0.013960369862616062,0.0025303044822067022
20000,-0.002777602756395936,-6.174489681143314e-05,-0.002715857859584503,1.4518837928771973,0.6326150298118591,-0.0020272417459636927
40000,-0.00369547912850976,1.845024416979868e-05,-0.0037139293726795586,1.6847842931747437,0.9447662830352783,0.0032296418212354183
60000,-0.0042532654479146,-9.870611393125728e-05,-0.004154559333983343,1.825088381767273,1.2007449865341187,0.010737260803580284
80000,-0.004584863316267729,-0.0004440988996066153,-0.0041407644166611135,1.922379732131958,1.423628330230713,0.018847357481718063
100000,-0.004634985700249672,-0.0008169922512024641,-0.003817993449047208,1.9871387481689453,1.6292592287063599,0.026963399723172188
120000,-0.004881855566054583,-0.0010947691043838859,-0.0037870864616706967,2.0285820960998535,1.804802417755127,0.034371647983789444
140000,-0.0048664934001863,-0.0013003178173676133,-0.003566175582818687,2.055467367172241,1.9650248289108276,0.04069530591368675
160000,-0.005039254669100046,-0.0014534351648762822,-0.003585819504223764,2.0716712474823,2.0814244747161865,0.04563217610120773
180000,-0.005031908862292767,-0.0015476681292057037,-0.003484240733087063,2.0825893878936768,2.1658029556274414,0.049197666347026825
200000,-0.005173236597329378,-0.0016087153926491737,-0.0035645212046802044,2.0901405811309814,2.228792905807495,0.05181436985731125
